BVC;CANACOL;ISA;GRUBOLIVAR;PFDAVVNDA;ECOPETROL;PFBCOLOM;BCOLOMBIA;COLCAP
21;25300;8600;45120;27100;1955;28480;27640;1484
19;23000;7930;45120;25840;1815;27820;27260;1419
19;20875;7850;45120;26300;1835;28180;27460;1420
20;22275;7920;45120;26500;1885;27960;27200;1422
20;22700;8000;45120;27380;1960;27380;26600;1433
20;24450;8280;45120;26500;1965;27320;26700;1427
20;24800;7850;45120;26220;1915;27980;27000;1412
20;25850;7780;45120;26000;1895;27260;26200;1388
20;24450;7720;45120;26000;1850;27320;26520;1381
20;26950;7630;45120;25720;1880;27000;26400;1376
19;28350;7550;45120;26280;1850;27160;26500;1376
19;29900;7600;45120;25900;1870;27380;26500;1377
19;31250;7730;45120;26140;1930;27400;26480;1388
19;29000;8060;45120;26920;1950;27700;26900;1412
20;28750;7960;45120;27080;2010;28000;27020;1423
20;29400;7800;45120;27240;2035;28560;27520;1426
20;31450;8000;45120;26800;2030;28580;27480;1424
20;32350;7840;45120;26000;1975;28340;27340;1408
19;31250;7740;45120;25980;1965;28420;27460;1408
19;34500;7500;43500;25620;1955;28880;27460;1389
19;34950;7570;43500;26180;2080;28420;26680;1408
20;38350;7760;45000;27000;2305;28220;26960;1436
20;36000;7970;45000;27280;2190;27940;26800;1428
19;37700;8020;45000;26900;2230;27940;26900;1434
19;35650;8120;51000;27000;2215;28000;26980;1437
19;32600;7930;51000;26100;2220;27640;26700;1426
19;29950;7700;51000;25580;2090;27560;26320;1403
19;29300;7690;51000;25300;2070;27300;26280;1382
19;30300;7730;51000;25300;2125;26660;25600;1381
19;31000;7900;51000;25500;2200;26760;25760;1398
19;31000;7950;51000;25500;2185;26680;25440;1399
19;30500;7960;51000;25700;2195;26480;25380;1397
19;29800;7900;49000;25700;2190;26620;25460;1398
19;29700;7810;51000;25400;2150;26600;25500;1387
19;29000;7810;52500;24720;2110;26400;25380;1369
19;27250;7880;52540;25000;2140;26460;25460;1376
19;27050;7870;52540;25200;2150;26000;25200;1365
19;28250;7820;52540;25380;2145;25960;24800;1363
19;27350;7870;52540;26100;2090;25940;24740;1362
19;27600;7810;52540;26400;2085;25800;25080;1368
19;29050;7760;52620;26200;2005;25400;24440;1343
19;30250;7650;52620;26480;1895;25480;24460;1317
18;31000;7660;52620;26220;1920;25300;24340;1322
19;29750;7660;52620;25380;1905;25000;24000;1312
18;28500;7450;52620;25100;1875;24200;23300;1280
18;27250;7600;52620;25100;1800;23800;23000;1258
17;24750;7450;52620;23760;1820;24060;23300;1250
17;26000;7300;52620;23580;1850;24160;22300;1250
17;27050;7360;52620;24260;1875;24620;23400;1270
17;27200;7390;52620;25500;1880;25180;23860;1282
17;26300;7400;52620;25940;1870;25600;24680;1288
18;28700;7450;52540;26000;1905;25600;24700;1289
18;32000;7510;52540;26480;1925;26100;25100;1305
18;30850;7410;52500;26480;1870;25940;25300;1297
17;31500;7380;52500;25600;1975;25500;25100;1292
18;32300;7410;52500;26460;1935;24360;23360;1285
18;31700;7400;53020;26600;1965;25100;24480;1298
18;30700;7420;53020;26500;1995;24980;23980;1300
18;29800;7400;53020;26000;1970;24800;23800;1295
18;29500;7400;53020;25500;1970;25060;23880;1297
18;29550;7430;53020;25300;1975;25400;24500;1305
18;31250;7660;53020;25860;2000;26000;24400;1330
18;31800;7730;53020;26400;2065;26300;25340;1351
19;32350;7740;53020;26400;2065;25940;25000;1356
19;31500;7800;53020;26900;2015;25800;24800;1345
19;32250;7880;53020;26940;2035;25980;25040;1348
19;32200;7850;53020;26460;2020;25960;24980;1348
19;32300;7900;53020;26400;2030;26360;25380;1357
19;34300;7950;53000;26260;2045;26680;25560;1359
19;36500;7870;53060;26400;2070;26580;25400;1363
20;36300;7960;53060;26900;2085;26400;25240;1367
19;36250;7970;53060;26940;2060;26280;25220;1364
19;35350;7970;53060;26140;2020;26080;25100;1348
19;35050;7950;53060;26160;1985;25920;24900;1330
19;35900;7940;53060;26340;2015;26500;25500;1347
20;37400;8080;52580;26720;2035;26900;25960;1358
20;36700;8100;53560;26840;2060;27400;26500;1374
20;36850;8300;53560;27180;2075;27560;26600;1392
21;37400;8360;53560;27720;2050;27760;26920;1412
21;37900;8290;53560;27720;2040;27460;26400;1406
21;39050;8000;53560;27700;2030;26060;25200;1396
21;38500;8110;53560;27140;2035;27100;25960;1401
21;37600;8400;53800;27580;2065;27480;26200;1418
21;36100;8400;53800;27600;2070;27240;25960;1411
20;35000;8120;54900;27060;1990;26920;25760;1378
20;34900;8170;54900;26700;1940;26760;25680;1367
20;34600;8080;55000;26960;1900;27220;26000;1366
20;33900;8130;55000;27000;1900;27180;25980;1362
20;33250;8060;55000;26900;1945;27220;26040;1358
20;32350;8020;55000;26600;1965;27360;26140;1361
20;31200;8050;55000;26600;1965;27440;26180;1357
20;28400;8190;55380;26700;1875;27900;26580;1369
20;30150;8220;55420;26120;1905;27900;26660;1363
20;31400;8200;55420;26100;1930;27300;26020;1357
20;31400;8130;55420;26140;1935;27060;25900;1354
20;31150;8130;55420;26100;1925;26900;25700;1348
20;30600;8010;55420;26240;1890;26600;25200;1337
19;29250;7850;55420;25600;1805;25980;24880;1311
19;29000;7830;55420;25720;1840;26000;24540;1307
18;29400;8190;55420;25120;1815;25900;24600;1307
19;29050;8110;55400;25960;1800;25580;24240;1301
18;30850;7920;55400;25980;1815;26100;24800;1309
18;30700;7920;55400;25800;1805;26080;24580;1312
18;29650;7980;55400;26180;1800;25640;24400;1309
18;31250;7880;55400;26240;1815;25940;24760;1320
18;30600;7820;55400;26340;1835;25500;24120;1319
18;30050;7710;55400;25860;1840;26000;24740;1324
18;29900;7710;55400;26020;1810;26740;25300;1334
18;29550;7610;55400;25860;1790;26660;25300;1330
18;28650;7540;55400;25520;1625;27660;26200;1321
18;28600;7600;55400;26000;1645;27560;26100;1321
18;28100;7590;55400;26300;1665;27760;26380;1326
17;27900;7410;55400;25540;1635;27420;26240;1308
17;27600;7450;55400;26000;1655;27720;26360;1313
17;28550;7600;55600;26100;1725;27920;26460;1332
18;28050;7580;55600;26140;1725;27500;26240;1329
18;28800;7450;55500;25800;1695;27120;26060;1314
17;28500;7360;55500;26180;1710;27600;26460;1322
18;29250;7350;55500;26740;1730;27900;26700;1331
17;28350;7210;55500;26220;1645;27500;26300;1314
17;28500;7250;55500;26560;1675;27360;26100;1320
17;28400;7250;55500;26340;1650;27120;26100;1313
17;27050;7280;55500;26520;1635;27000;25740;1310
17;26400;7300;55500;26380;1650;26900;25600;1306
17;26000;7210;55500;26020;1600;26660;25420;1296
17;26650;7240;55500;26220;1645;26760;25680;1301
17;26600;7240;55500;26300;1625;27700;26500;1311
17;27200;7290;55500;26340;1635;27360;26400;1314
17;29500;7450;55500;26700;1655;27560;26500;1325
17;29200;7480;55500;26400;1635;27600;26300;1324
17;29150;7410;55500;26520;1630;27600;26380;1326
17;29750;7330;58200;26200;1610;27400;26120;1309
17;29650;7150;58200;26380;1635;26800;25500;1301
17;29750;7200;58200;26300;1610;26900;25420;1306
16;29700;7110;58200;26000;1625;27200;25780;1307
16;28900;7090;58220;25900;1585;27300;25780;1303
16;27000;6940;58220;25700;1545;27220;25820;1293
16;27250;6950;58220;25800;1560;27360;26300;1298
16;27500;7190;58220;26260;1640;27940;26400;1325
16;28250;7160;58220;26380;1645;27700;26480;1322
16;27500;7080;58220;26480;1610;27660;26020;1317
16;26750;7020;58220;25920;1565;27680;26260;1299
16;26000;7030;58220;26100;1580;27700;26260;1298
16;25500;7090;58220;26100;1530;28000;26600;1289
16;25800;7000;58220;25760;1565;28000;26680;1291
16;26550;7120;58200;25500;1540;27720;26480;1285
16;25750;7060;58200;25380;1500;27300;26200;1272
16;25950;7050;58200;25460;1530;27320;26060;1281
16;25250;6780;58200;25060;1530;27240;25740;1272
16;25600;6900;58200;24920;1510;26760;25500;1269
16;26500;6800;58200;24860;1515;26020;24700;1261
16;26450;6860;58200;24240;1450;25080;23900;1240
16;26950;6670;58200;23920;1465;24840;24000;1229
16;26500;6310;58200;23440;1460;24100;23040;1193
16;25050;5720;58200;22160;1430;24200;22960;1151
16;25700;5420;58200;22340;1425;24400;23120;1150
16;25550;5610;58200;22320;1425;24920;23680;1153
16;27150;6230;58200;22400;1510;25800;24500;1199
16;28000;6300;58200;22980;1545;25980;24440;1218
16;28400;6640;58200;23840;1595;26380;24960;1247
16;27800;6500;58200;23000;1500;25700;24200;1211
16;28350;6420;58200;23840;1520;26200;24980;1219
16;30950;6700;58200;23840;1515;26420;25160;1239
16;30000;6700;58200;24880;1500;25800;24480;1236
16;29100;6710;58200;25500;1475;25720;24560;1242
16;30000;6680;58200;25440;1465;26240;25000;1245
16;28800;7000;58200;24960;1435;25600;24520;1234
16;28450;7050;58200;25880;1450;26160;24460;1255
16;28500;7000;58200;25580;1405;25700;24340;1250
16;27500;7040;58200;25360;1410;25980;24460;1250
16;28100;7150;58200;24700;1395;26080;24540;1254
16;31850;7190;58200;25200;1425;26560;25180;1265
16;33750;7210;58200;24980;1440;26140;24880;1264
16;34000;7000;59000;24300;1425;25800;24320;1249
16;34350;6840;59000;23500;1415;25420;24100;1234
16;32800;6990;59000;22900;1395;24640;23400;1215
16;34050;7000;59000;22660;1355;24160;23000;1209
16;32900;6970;59000;23340;1365;24840;23700;1219
17;32000;7000;59000;23400;1350;24440;23140;1215
17;30700;6830;59000;23500;1285;24500;23300;1203
17;29750;6830;59000;24000;1305;24460;23620;1202
17;30250;7150;59000;23980;1330;24960;23720;1219
17;30300;7120;60000;23300;1320;25000;23500;1210
16;32400;7180;60000;23580;1340;25240;23740;1218
16;33350;7280;60000;23780;1390;26000;24700;1238
17;34400;7350;60000;24460;1440;26700;25220;1255
17;34100;7320;60000;25000;1495;27620;25960;1274
17;35400;7280;60000;24700;1515;27680;26000;1281
17;34950;7060;60000;24860;1500;28000;26520;1280
17;34500;7230;60000;24500;1495;26900;25200;1274
17;34900;7020;60000;24120;1480;27200;25700;1259
16;37400;6940;60000;24220;1470;27120;25340;1251
16;36100;7080;60000;24160;1460;27100;25300;1252
16;34700;6870;59980;23780;1390;27200;25300;1247
17;34900;6700;59980;24200;1395;27180;25420;1246
16;34950;6790;59980;24280;1375;27300;25360;1245
17;34550;6870;59980;24280;1390;26940;25020;1249
17;34100;6880;59980;24680;1370;27100;25180;1249
17;33300;6890;59940;24480;1365;27100;25100;1248
17;31650;6900;59940;24500;1345;26680;24700;1238
17;33200;7000;59940;24680;1365;25620;23940;1229
17;33200;6930;59940;24360;1345;25380;23680;1219
17;33500;6940;58200;23820;1350;25120;23540;1218
17;36050;7000;59940;23620;1415;24460;23000;1218
16;37000;7170;59940;23500;1400;24720;23000;1218
16;36950;7240;59940;23940;1415;25080;23620;1226
17;36550;7200;58220;24180;1410;25180;23700;1223
17;36850;7120;58200;24000;1395;25080;23680;1217
17;37100;7100;58020;23560;1395;25160;23560;1213
17;35400;7000;58000;23500;1360;24760;23300;1205
17;34650;6830;58000;23600;1340;24580;23000;1182
17;35000;6790;58000;21480;1350;23860;22500;1152
17;34900;6300;58000;20180;1325;23060;21380;1112
17;34750;6580;57400;20640;1320;23100;21620;1126
16;34150;6660;58160;20940;1310;22860;21380;1120
17;33500;6770;57400;21480;1295;23400;22160;1139
17;34000;6620;57400;21120;1330;23440;22100;1140
17;33850;6630;57400;21000;1340;22860;21380;1125
17;34400;6690;57400;20860;1340;22400;20760;1109
17;34550;6600;57400;21020;1325;22700;20840;1104
16;34650;6540;57400;21060;1300;22320;20840;1093
17;36000;6800;57400;20500;1305;22400;21660;1114
16;35450;6650;57400;20960;1285;22300;20900;1109
17;34650;6600;57400;20300;1260;21500;20580;1091
17;33350;6800;57400;20260;1255;21040;20100;1081
17;33700;6700;57400;20220;1205;20700;19920;1071
17;30550;6690;57400;20400;1160;20380;19380;1051
17;31950;6700;57000;20540;1160;20420;19060;1062
17;30500;6770;57000;20900;1135;20400;19100;1080
17;29700;6900;57000;20920;1105;20500;19480;1075
17;27800;6980;57000;20800;1090;20300;19480;1074
17;29150;6990;57000;21000;1170;21020;20000;1101
17;31500;7000;57000;21500;1160;22600;21500;1130
17;30600;7080;57000;21660;1155;22780;21860;1141
17;31050;7300;57000;21500;1230;22500;21440;1140
17;30500;7190;57000;21500;1155;22000;21000;1131
17;30500;7100;57000;21780;1165;21900;21000;1129
17;31500;7170;57000;21780;1205;22780;21700;1161
17;32300;7060;57000;21960;1170;22520;21800;1155
17;30900;7210;57000;21880;1150;22120;20780;1152
17;30600;7280;57000;21640;1130;21940;20700;1148
17;30000;7380;57000;21800;1110;21600;20980;1154
17;31800;7050;57000;21180;1105;21280;20500;1130
18;31500;7180;57000;21700;1085;21760;20880;1142
18;29050;7080;57000;21420;1060;21200;20280;1129
18;28800;7180;57000;21100;1035;20760;20100;1106
17;29250;7040;57000;21420;1015;20840;19900;1098
17;26050;7170;57000;21780;955;20920;19620;1079
17;25300;7180;57000;21700;961;20960;19720;1097
17;25650;7200;57000;22640;987;22320;20480;1129
17;24975;6900;57000;22400;978;21100;19960;1103
17;24725;6870;57000;21980;881;20700;19800;1079
17;24500;7180;57000;22380;923;21600;20100;1100
17;23900;7130;57000;22900;914;22000;20700;1109
16;24350;7190;57000;22940;950;22400;21400;1125
17;27950;7250;57000;23200;1020;23280;21980;1152
17;27500;7090;57000;22820;958;22780;21700;1139
17;28200;7150;57000;23200;975;22740;21480;1146
17;29150;7160;57000;23360;990;22900;21740;1153
17;29950;7240;57000;23320;1020;23240;22000;1165
17;30950;7360;57000;23160;1030;23980;22600;1175
17;30000;7490;57000;23420;1020;24040;22720;1181
17;29150;7670;57000;22840;993;23740;22500;1166
17;30450;7580;57000;22800;1035;24560;23000;1181
17;30550;7600;57000;23480;1050;24460;23000;1189
17;30200;7500;57000;23400;1045;24740;23500;1195
17;29450;7480;57300;23400;1060;24620;23200;1193
17;28700;7570;57000;23540;1025;24460;23200;1197
17;28600;7650;57000;23700;1030;24420;23200;1200
18;29200;7680;57000;23700;1035;24120;23100;1199
17;29750;7660;57000;23800;1065;24760;23500;1209
17;30350;7760;57000;23800;1070;24780;23560;1210
17;33500;7650;57000;23700;1045;24760;23520;1200
17;35700;7780;57000;24720;1155;25100;23900;1233
17;34000;7840;57000;24820;1160;24820;23560;1236
18;33450;7860;57000;24960;1130;24600;23500;1235
18;35500;7890;57000;24740;1165;24740;23300;1236
18;34900;7950;57000;24660;1145;24660;23500;1230
18;34950;7940;56500;24720;1135;24460;23020;1228
19;37900;7970;56500;24960;1150;24400;23100;1240
19;39500;7900;56500;25000;1160;24760;23760;1247
18;39850;7750;56500;25080;1140;24740;23800;1244
18;40300;8000;56500;25260;1170;24880;23600;1256
18;40500;8040;56500;25760;1260;25200;23700;1277
18;43150;8110;56500;25700;1320;25700;24600;1295
18;43000;8190;56700;25860;1365;25700;24580;1295
18;42450;8260;56700;25900;1425;26260;24840;1307
18;41050;8240;56500;25780;1340;26200;24700;1295
18;41450;8260;56500;26000;1340;26400;25120;1296
18;39650;8220;56500;26180;1350;26400;25200;1299
18;40000;8190;56500;26200;1360;26800;25400;1303
18;39900;8190;56500;26040;1335;26520;25380;1298
18;38700;8190;56500;26080;1285;25900;24680;1285
18;40700;8180;56500;25800;1345;25400;24040;1284
18;40900;8240;56500;25880;1380;26020;24400;1296
18;39300;8420;56500;25900;1325;26200;24500;1310
18;39600;8600;56500;26000;1350;25680;24800;1317
18;38500;8700;56500;26780;1340;25460;24260;1321
18;37650;8700;56500;26480;1290;25300;23700;1305
18;39000;8670;56500;26380;1280;25080;23700;1300
18;38650;8700;56000;26800;1310;25540;24000;1320
18;39850;8650;56000;27480;1310;25880;24700;1336
18;40150;8590;55000;27500;1300;25520;24700;1334
18;38850;8590;55000;27080;1290;26100;24680;1338
18;38950;8420;55000;26700;1265;25600;24660;1313
8800;39000;8450;55000;26880;1265;25780;24640;1322
8850;38500;8380;55000;26980;1220;25780;24640;1316
9150;39850;8380;55000;26700;1280;26020;24620;1327
9000;40550;8450;55000;27000;1290;26340;25200;1336
9100;41450;8590;55000;27240;1380;27280;26000;1364
9200;41700;8640;55000;27600;1400;28060;26420;1371
9150;42900;8600;55000;28000;1380;27800;26340;1365
9300;41350;8600;56000;27600;1350;27780;26200;1355
9350;42000;8740;56000;27760;1360;27500;26000;1355
9400;42950;8750;56000;27700;1380;27920;26380;1363
9500;45300;8800;56000;27800;1425;28400;26660;1377
9350;45600;8700;56000;27500;1430;28500;26680;1376
9350;44300;8740;56000;27300;1435;28460;26680;1374
9100;43900;8660;56000;26760;1415;28280;26420;1359
9000;44750;8850;56000;26640;1445;28240;26480;1365
9000;45000;8850;55000;26540;1460;28300;26520;1362
9150;44500;8850;55000;26500;1440;28180;26500;1362
8950;46500;8700;55000;26840;1415;27080;25500;1342
9050;43750;8640;55000;26260;1370;27160;25320;1343
8900;42250;8580;55000;25620;1370;26800;25000;1320
8900;42250;8620;55000;25620;1395;26580;24820;1312
8950;42900;8410;55000;25600;1390;26020;24220;1291
8750;42400;8500;55000;25700;1395;26220;24380;1293
8950;43000;8700;55000;25980;1405;26980;25220;1329
8950;42700;8820;55000;25820;1400;26800;25400;1336
8950;45050;8850;55000;26360;1420;27020;25500;1351
8950;44500;8830;55000;26140;1405;27120;25700;1350
9000;45000;8890;55000;26500;1445;27340;25700;1358
18;45150;8770;55000;26200;1465;27040;25360;1344
8800;44250;8700;55000;26400;1405;27300;25120;1328
8600;42950;8700;55000;25900;1415;26900;25060;1323
8750;43350;8760;55000;25700;1400;27000;25400;1322
18;43300;8850;55000;25700;1395;27200;25400;1325
18;43200;8930;55000;25300;1385;26680;24820;1319
18;44350;8900;54700;25120;1410;25760;24080;1307
18;44500;8760;55000;25740;1395;26080;24200;1302
8900;43800;8900;55000;25800;1395;25640;24000;1302
8600;44700;8800;55000;26200;1340;25280;23700;1293
8800;45750;8860;55000;26300;1360;25360;23620;1301
8900;46050;8810;55000;26420;1375;25440;23540;1303
8900;46500;8810;55000;26860;1370;25720;23900;1308
9050;50900;8890;55000;26800;1420;25200;23460;1316
9100;52700;8850;55000;26900;1450;25980;24040;1333
9100;53000;8860;55000;27040;1450;25900;24060;1333
